1.785714285714286e+08	NaN
2.056063213082943e+08	NaN
2.367341724268055e+08	NaN
2.725746369955781e+08	NaN
3.138411830097837e+08	NaN
3.613552942366350e+08	NaN
4.160628233063164e+08	NaN
4.790528205856655e+08	3.536818502076246e+13
5.515792136566938e+08	4.874885042388275e+11
6.350857689684145e+08	1.140328733376965e+10
7.312348325679319e+08	4.521982754972183e+08
8.419404220459626e+08	2.498574822784343e+07
9.694063284506892e+08	1.990063647406069e+06
1.116169986656067e+09	2.281377153241557e+05
1.285152987502059e+09	3.666478874293450e+04
1.479719237240511e+09	7.950124743777847e+03
1.703741922053558e+09	2.220659186145461e+03
1.961680610692066e+09	7.563766960309584e+02
2.258670030098742e+09	2.951239601055474e+02
2.600622281252223e+09	1.233371793373448e+02
2.994344530019661e+09	5.128090406322575e+01
3.447674515862937e+09	1.918233749585008e+01
3.969636575939627e+09	5.082711717882312e+00
4.570621290534881e+09	3.551941294196659e-01
5.262592325985374e+09	1.658497459670114e+00
6.059324592670232e+09	1.225573409062780e+00
6.976678459026109e+09	3.549485407541174e-01
8.032915480302594e+09	2.851910198969176e-01
9.249061927198574e+09	3.933391555983767e-01
1.064932735106185e+10	1.324297618422048e-01
1.226158651793393e+10	1.299490536116065e+00
1.411793430519232e+10	3.080286702229297e+00
1.625532460699148e+10	5.440182105199240e+00
1.871630596704791e+10	8.345549645288306e+00
2.154986858284511e+10	1.176140474750543e+01
2.481241954237743e+10	1.564462622756665e+01
2.856890570725102e+10	1.993585266098219e+01
3.289410659511993e+10	2.455160275401800e+01
3.787412299857487e+10	2.937890276652608e+01
4.360809097408312e+10	3.427659811095283e+01
5.021015532096851e+10	3.908711220091086e+01
5.781174183602928e+10	4.365753790701962e+01
6.656417357705247e+10	4.786269945239162e+01
7.664168321658531e+10	5.162100733499254e+01
8.824488145221140e+10	5.489823064723875e+01
1.016047505181836e+11	5.770065325482312e+01
1.169872422963482e+11	6.006275795408268e+01
1.346985725599037e+11	6.203449754118783e+01
1.550913167413129e+11	6.367113083878060e+01
1.785714285714286e+11	6.502649262977765e+01
